date,url,contract,current_price,average_price,number_deals,volume_MT,amount_RUB
2018-09-28,https://fs.moex.com/files/17732/29021,FSGCFO,36200.0,36156.0,9.0,500.0,18078000.0
2018-09-27,https://fs.moex.com/files/17727/29005,FSGCFO,36309.0,36216.33333,3.0,240.0,8691920.0
2018-09-27,https://fs.moex.com/files/17727/29005,FSGPFO,28105.0,,0.0,0.0,0.0
2018-09-27,https://fs.moex.com/files/17727/29005,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-26,https://fs.moex.com/files/17717/28990,FSGCFO,35505.0,36951.77419,3.0,620.0,22910100.0
2018-09-26,https://fs.moex.com/files/17717/28990,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-26,https://fs.moex.com/files/17717/28990,FSGPFO,28105.0,,0.0,0.0,0.0
2018-09-25,https://fs.moex.com/files/17713/28980,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-25,https://fs.moex.com/files/17713/28980,FSGPFO,28105.0,,0.0,0.0,0.0
2018-09-25,https://fs.moex.com/files/17713/28980,FSGCFO,36500.0,36437.3125,4.0,320.0,11659940.0
2018-09-24,https://fs.moex.com/files/17708/28973,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-24,https://fs.moex.com/files/17708/28973,FSGPFO,28105.0,,0.0,0.0,0.0
2018-09-24,https://fs.moex.com/files/17708/28973,FSGCFO,36500.0,36000.0,5.0,700.0,25200160.0
2018-09-21,https://fs.moex.com/files/17703/28960,FSGYFO,33902.0,,0.0,0.0,0.0
2018-09-21,https://fs.moex.com/files/17703/28960,FSGCFO,34001.0,34025.49367,11.0,1580.0,53760280.0
2018-09-21,https://fs.moex.com/files/17703/28960,FSGPFO,28105.0,,0.0,0.0,0.0
2018-09-20,https://fs.moex.com/files/17697/28948,FSGPFO,28105.0,,0.0,0.0,0.0
2018-09-20,https://fs.moex.com/files/17697/28948,FSGCFO,33000.0,33023.26923,8.0,1040.0,34344200.0
